node1	node2	score	network_id	edge_type
AT2G18790	AT2G25930	1	BIOGRID	PPI
AT2G46790	AT5G02810	1	BIOGRID	PPI
AT5G02810	AT2G46790	1	BIOGRID	PPI
AT2G46790	AT5G24470	1	BIOGRID	PPI
AT5G24470	AT2G46790	1	BIOGRID	PPI
AT5G02810	AT5G24470	1	BIOGRID	PPI
AT5G24470	AT5G02810	1	BIOGRID	PPI
AT1G01060	AT1G22770	1	BIOGRID	PPI
AT5G15840	AT1G22770	1	BIOGRID	PPI
AT1G65480	AT1G22770	1	BIOGRID	PPI
AT1G01060	AT1G22770	1	BIOGRID	PPI
AT2G47700	AT1G22770	1	BIOGRID	PPI
AT2G47700	AT5G15840	1	BIOGRID	PPI
AT2G47700	AT1G22770	1	BIOGRID	PPI
AT1G22770	AT2G47700	1	BIOGRID	PPI
AT1G22770	AT5G61380	1	BIOGRID	PPI
AT5G61380	AT1G22770	1	BIOGRID	PPI
AT1G22770	AT5G57360	1	BIOGRID	PPI
AT5G02810	AT2G46790	1	BIOGRID	PPI
AT2G46790	AT5G02810	1	BIOGRID	PPI
AT1G22770	AT3G11540	1	BIOGRID	PPI
AT5G15840	AT3G11540	1	BIOGRID	PPI
AT1G65480	AT3G11540	1	BIOGRID	PPI
AT4G16280	AT1G77300	1	BIOGRID	PPI
AT2G19520	AT1G77300	1	BIOGRID	PPI
AT5G15840	AT1G77300	1	BIOGRID	PPI
AT4G25530	AT1G77300	1	BIOGRID	PPI
AT1G22770	AT1G77300	1	BIOGRID	PPI
AT2G25930	AT1G65480	1	BIOGRID	PPI
AT2G25930	AT4G02560	1	BIOGRID	PPI
AT2G25930	AT4G16280	1	BIOGRID	PPI
AT2G25930	AT4G25530	1	BIOGRID	PPI
AT5G24470	AT5G61380	1	BIOGRID	PPI
AT5G61380	AT5G24470	1	BIOGRID	PPI
AT2G46830	AT1G01060	1	BIOGRID	PPI
AT1G01060	AT2G46830	1	BIOGRID	PPI
AT2G46830	AT5G61380	1	BIOGRID	PPI
AT1G01060	AT5G61380	1	BIOGRID	PPI
AT5G61380	AT2G46830	1	BIOGRID	PPI
AT2G46830	AT5G61380	1	BIOGRID	PPI
AT1G01060	AT5G61380	1	BIOGRID	PPI
AT2G46830	AT1G01060	1	BIOGRID	PPI
AT2G46830	AT5G61380	1	BIOGRID	PPI
AT1G01060	AT5G61380	1	BIOGRID	PPI
AT5G24470	AT5G02810	1	BIOGRID	PPI
AT5G02810	AT5G24470	1	BIOGRID	PPI
AT5G24470	AT1G01060	1	BIOGRID	PPI
AT5G24470	AT2G46830	1	BIOGRID	PPI
AT5G02810	AT1G01060	1	BIOGRID	PPI
AT5G02810	AT2G46830	1	BIOGRID	PPI
AT1G09530	AT2G18790	1	BIOGRID	PPI
AT3G59060	AT2G18790	1	BIOGRID	PPI
AT5G02810	AT2G18790	1	BIOGRID	PPI
AT1G09530	AT5G02810	1	BIOGRID	PPI
AT1G01060	AT2G46830	1	BIOGRID	PPI
AT2G46830	AT1G01060	1	BIOGRID	PPI
AT5G02810	AT5G24470	1	BIOGRID	PPI
AT5G24470	AT5G02810	1	BIOGRID	PPI
AT5G24470	AT1G01060	1	BIOGRID	PPI
AT5G24470	AT2G46830	1	BIOGRID	PPI
AT5G02810	AT1G01060	1	BIOGRID	PPI
AT5G02810	AT2G46830	1	BIOGRID	PPI
AT2G46830	AT3G22380	1	BIOGRID	PPI
AT1G01060	AT3G22380	1	BIOGRID	PPI
AT3G22380	AT2G40080	1	BIOGRID	PPI
AT2G40080	AT3G22380	1	BIOGRID	PPI
AT3G22380	AT2G25930	1	BIOGRID	PPI
AT5G61380	AT3G22380	1	BIOGRID	PPI
AT3G22380	AT5G61380	1	BIOGRID	PPI
AT3G22380	AT1G22770	1	BIOGRID	PPI
AT1G22770	AT3G22380	1	BIOGRID	PPI
AT1G22770	AT2G32950	1	BIOGRID	PPI
AT1G04400	AT2G32950	1	BIOGRID	PPI
AT4G02560	AT2G32950	1	BIOGRID	PPI
AT5G11260	AT1G56650	1	BIOGRID	PPI
AT5G57360	AT5G24470	1	BIOGRID	PPI
AT5G57360	AT5G24470	1	BIOGRID	PPI
AT5G24470	AT5G57360	1	BIOGRID	PPI
AT5G57360	AT5G24470	1	BIOGRID	PPI
AT4G02570	AT5G25350	1	BIOGRID	PPI
AT4G02570	AT2G25490	1	BIOGRID	PPI
AT2G25490	AT4G02570	1	BIOGRID	PPI
AT4G02570	AT5G20570	1	BIOGRID	PPI
AT2G02560	AT4G02570	1	BIOGRID	PPI
AT4G17230	AT2G18790	1	BIOGRID	PPI
AT5G35750	AT1G27320	1	BIOGRID	PPI
AT5G35750	AT2G01830	1	BIOGRID	PPI
AT1G27320	AT2G01830	1	BIOGRID	PPI
AT5G35750	AT1G27320	1	BIOGRID	PPI
AT1G27320	AT5G35750	1	BIOGRID	PPI
AT5G57360	AT1G56280	1	BIOGRID	PPI
AT2G18915	AT1G56280	1	BIOGRID	PPI
AT1G68050	AT1G56280	1	BIOGRID	PPI
AT5G15850	AT2G18915	1	BIOGRID	PPI
AT2G18915	AT5G15840	1	BIOGRID	PPI
AT2G18915	AT5G15850	1	BIOGRID	PPI
AT2G18915	AT3G02380	1	BIOGRID	PPI
AT2G18915	AT2G24790	1	BIOGRID	PPI
AT2G18915	AT5G24930	1	BIOGRID	PPI
AT2G18915	AT5G57660	1	BIOGRID	PPI
AT2G18915	AT2G47890	1	BIOGRID	PPI
AT2G18915	AT2G33500	1	BIOGRID	PPI
AT1G68520	AT2G18915	1	BIOGRID	PPI
AT5G57660	AT2G18915	1	BIOGRID	PPI
AT1G28050	AT2G18915	1	BIOGRID	PPI
AT5G15840	AT2G18915	1	BIOGRID	PPI
AT2G36910	AT2G36910	1	BIOGRID	PPI
