node1	node2	score	edge_type
AT1G05630	AT4G05090	1	Metabolic-AraCyc
AT1G05630	AT5G09290	1	Metabolic-AraCyc
AT4G18010	AT5G63980	1	Metabolic-AraCyc
AT3G06850	AT3G45300	1	Metabolic-AraCyc
AT3G17240	AT3G45300	1	Metabolic-AraCyc
AT1G18870	AT1G68890	1	Metabolic-AraCyc
AT1G76290	AT3G13450	1	Metabolic-AraCyc
AT5G55630	AT2G34200	1	Metabolic-AraCyc
AT5G46240	AT2G34200	1	Metabolic-AraCyc
AT2G26650	AT2G34200	1	Metabolic-AraCyc
AT2G30070	AT2G34200	1	Metabolic-AraCyc
AT2G17650	AT3G13450	1	Metabolic-AraCyc
AT2G17650	AT5G09300	1	Metabolic-AraCyc
AT2G17650	AT3G06850	1	Metabolic-AraCyc
AT2G17650	AT3G17240	1	Metabolic-AraCyc
AT1G76290	AT5G09300	1	Metabolic-AraCyc
AT1G74710	AT1G68890	1	Metabolic-AraCyc
AT1G76290	AT3G06850	1	Metabolic-AraCyc
AT1G76290	AT3G17240	1	Metabolic-AraCyc
AT1G20560	AT3G13450	1	Metabolic-AraCyc
AT1G20560	AT5G09300	1	Metabolic-AraCyc
AT1G20560	AT3G06850	1	Metabolic-AraCyc
AT1G20560	AT3G17240	1	Metabolic-AraCyc
AT2G17650	AT3G45300	1	Metabolic-AraCyc
AT1G76290	AT3G45300	1	Metabolic-AraCyc
AT1G20560	AT3G45300	1	Metabolic-AraCyc
AT4G18010	AT5G64000	1	Metabolic-AraCyc
AT4G18010	AT5G63990	1	Metabolic-AraCyc
AT4G18010	AT4G05090	1	Metabolic-AraCyc
AT5G58670	AT2G43900	1	Metabolic-AraCyc
AT3G47290	AT1G34120	1	Metabolic-AraCyc
AT4G34930	AT2G31830	1	Metabolic-AraCyc
AT4G34930	AT1G05630	1	Metabolic-AraCyc
AT4G34930	AT4G18010	1	Metabolic-AraCyc
AT4G34930	AT2G43900	1	Metabolic-AraCyc
AT4G34930	AT1G34120	1	Metabolic-AraCyc
AT5G58670	AT2G31830	1	Metabolic-AraCyc
AT5G58670	AT1G05630	1	Metabolic-AraCyc
AT5G58670	AT4G18010	1	Metabolic-AraCyc
AT5G58670	AT1G34120	1	Metabolic-AraCyc
AT3G47290	AT4G18010	1	Metabolic-AraCyc
AT3G55940	AT2G31830	1	Metabolic-AraCyc
AT3G55940	AT1G05630	1	Metabolic-AraCyc
AT3G55940	AT4G18010	1	Metabolic-AraCyc
AT3G55940	AT2G43900	1	Metabolic-AraCyc
AT3G55940	AT1G34120	1	Metabolic-AraCyc
AT4G38530	AT2G31830	1	Metabolic-AraCyc
AT4G38530	AT1G05630	1	Metabolic-AraCyc
AT4G38530	AT4G18010	1	Metabolic-AraCyc
AT4G38530	AT2G43900	1	Metabolic-AraCyc
AT3G47290	AT2G43900	1	Metabolic-AraCyc
AT3G47290	AT1G05630	1	Metabolic-AraCyc
AT4G18010	AT5G09290	1	Metabolic-AraCyc
AT1G34120	AT5G09290	1	Metabolic-AraCyc
AT2G43900	AT5G63980	1	Metabolic-AraCyc
AT2G43900	AT5G64000	1	Metabolic-AraCyc
AT2G43900	AT5G63990	1	Metabolic-AraCyc
AT2G43900	AT4G05090	1	Metabolic-AraCyc
AT2G43900	AT5G09290	1	Metabolic-AraCyc
AT1G34120	AT5G63980	1	Metabolic-AraCyc
AT1G34120	AT5G64000	1	Metabolic-AraCyc
