node1	node2	score	edge_type
AT1G51760	AT2G33150	1	AT-UU-KS-00-AA-01
AT1G68100	AT3G04580	1	AT-UU-KS-00-AA-01
AT1G68100	AT1G12840	1	AT-UU-KS-00-AA-01
AT1G68100	AT4G03560	1	AT-UU-KS-00-AA-01
AT1G68100	AT3G24650	1	AT-UU-KS-00-AA-01
AT1G68100	AT5G62810	1	AT-UU-KS-00-AA-01
AT5G01220	AT1G64970	1	AT-UU-KS-00-AA-01
AT1G68100	AT2G33150	1	AT-UU-KS-00-AA-01
AT4G05120	AT3G04580	1	AT-UU-KS-00-AA-01
AT4G05120	AT1G12840	1	AT-UU-KS-00-AA-01
AT4G05120	AT4G03560	1	AT-UU-KS-00-AA-01
AT4G05120	AT3G24650	1	AT-UU-KS-00-AA-01
AT4G05120	AT4G39850	1	AT-UU-KS-00-AA-01
AT4G05120	AT5G62810	1	AT-UU-KS-00-AA-01
AT4G05120	AT2G33150	1	AT-UU-KS-00-AA-01
AT1G54490	AT3G04580	1	AT-UU-KS-00-AA-01
AT1G51760	AT1G12840	1	AT-UU-KS-00-AA-01
AT1G51760	AT3G04580	1	AT-UU-KS-00-AA-01
AT4G05530	AT2G33150	1	AT-UU-KS-00-AA-01
AT4G05530	AT5G62810	1	AT-UU-KS-00-AA-01
AT3G02875	AT3G04580	1	AT-UU-KS-00-AA-01
AT3G02875	AT1G12840	1	AT-UU-KS-00-AA-01
AT3G02875	AT4G03560	1	AT-UU-KS-00-AA-01
AT3G02875	AT3G24650	1	AT-UU-KS-00-AA-01
AT3G02875	AT4G39850	1	AT-UU-KS-00-AA-01
AT3G02875	AT5G62810	1	AT-UU-KS-00-AA-01
AT3G02875	AT2G33150	1	AT-UU-KS-00-AA-01
AT3G06810	AT3G04580	1	AT-UU-KS-00-AA-01
AT3G06810	AT1G12840	1	AT-UU-KS-00-AA-01
AT3G06810	AT4G03560	1	AT-UU-KS-00-AA-01
AT3G06810	AT3G24650	1	AT-UU-KS-00-AA-01
AT3G06810	AT4G39850	1	AT-UU-KS-00-AA-01
AT3G06810	AT5G62810	1	AT-UU-KS-00-AA-01
AT3G06810	AT2G33150	1	AT-UU-KS-00-AA-01
AT4G05530	AT3G04580	1	AT-UU-KS-00-AA-01
AT4G05530	AT1G12840	1	AT-UU-KS-00-AA-01
AT4G05530	AT4G03560	1	AT-UU-KS-00-AA-01
AT4G05530	AT3G24650	1	AT-UU-KS-00-AA-01
AT4G05530	AT4G39850	1	AT-UU-KS-00-AA-01
AT1G54490	AT1G12840	1	AT-UU-KS-00-AA-01
AT1G54490	AT4G03560	1	AT-UU-KS-00-AA-01
AT1G54490	AT3G24650	1	AT-UU-KS-00-AA-01
AT1G03310	AT4G39030	1	AT-UU-KS-00-AA-01
AT3G18440	AT3G11480	1	AT-UU-KS-00-AA-01
AT4G32770	AT4G26200	1	AT-UU-KS-00-AA-01
AT4G32770	AT3G11480	1	AT-UU-KS-00-AA-01
AT4G32770	AT3G18440	1	AT-UU-KS-00-AA-01
AT3G02870	AT4G39030	1	AT-UU-KS-00-AA-01
AT1G61120	AT4G39030	1	AT-UU-KS-00-AA-01
AT1G64970	AT4G26200	1	AT-UU-KS-00-AA-01
AT1G64970	AT3G11480	1	AT-UU-KS-00-AA-01
AT1G64970	AT3G18440	1	AT-UU-KS-00-AA-01
AT1G64970	AT4G32770	1	AT-UU-KS-00-AA-01
AT5G24300	AT4G26200	1	AT-UU-KS-00-AA-01
AT5G24300	AT3G11480	1	AT-UU-KS-00-AA-01
AT5G24300	AT3G18440	1	AT-UU-KS-00-AA-01
AT5G24300	AT4G32770	1	AT-UU-KS-00-AA-01
AT5G24300	AT1G64970	1	AT-UU-KS-00-AA-01
AT5G01220	AT4G26200	1	AT-UU-KS-00-AA-01
AT5G01220	AT3G11480	1	AT-UU-KS-00-AA-01
AT5G01220	AT3G18440	1	AT-UU-KS-00-AA-01
AT5G01220	AT4G32770	1	AT-UU-KS-00-AA-01
AT3G18440	AT4G26200	1	AT-UU-KS-00-AA-01
