node1	node2	score	edge_type
AT1G16710	AT1G11720	1	AT-UU-PY-01-LF-01
AT4G08210	AT1G34160	1	AT-UU-PY-01-LF-01
AT5G46350	AT5G55090	1	AT-UU-PY-01-LF-01
AT1G75460	AT3G06590	1	AT-UU-PY-01-LF-01
AT2G38040	AT3G19590	1	AT-UU-PY-01-LF-01
AT3G22690	AT3G45770	1	AT-UU-PY-01-LF-01
AT4G05410	AT3G05070	1	AT-UU-PY-01-LF-01
AT2G02730	AT1G16880	1	AT-UU-PY-01-LF-01
AT1G42440	AT1G51680	1	AT-UU-PY-01-LF-01
AT4G01970	AT3G07250	1	AT-UU-PY-01-LF-01
AT4G38440	AT4G32530	1	AT-UU-PY-01-LF-01
AT3G56960	AT3G57550	1	AT-UU-PY-01-LF-01
AT1G67120	AT1G60995	1	AT-UU-PY-01-LF-01
AT4G28300	AT4G28390	1	AT-UU-PY-01-LF-01
AT3G24715	AT3G24670	1	AT-UU-PY-01-LF-01
AT5G58060	AT1G15710	1	AT-UU-PY-01-LF-01
AT3G49060	AT3G61050	1	AT-UU-PY-01-LF-01
AT1G56230	AT1G54960	1	AT-UU-PY-01-LF-01
AT5G14180	AT1G16400	1	AT-UU-PY-01-LF-01
AT4G02630	AT4G38730	1	AT-UU-PY-01-LF-01
AT5G14950	AT5G09870	1	AT-UU-PY-01-LF-01
AT1G55790	AT1G55130	1	AT-UU-PY-01-LF-01
AT4G05110	AT4G28160	1	AT-UU-PY-01-LF-01
AT3G59570	AT4G28520	1	AT-UU-PY-01-LF-01
AT1G07850	AT5G22355	1	AT-UU-PY-01-LF-01
AT5G35560	AT5G18820	1	AT-UU-PY-01-LF-01
AT1G63450	AT5G06730	1	AT-UU-PY-01-LF-01
AT5G52340	AT5G62250	1	AT-UU-PY-01-LF-01
AT2G03890	AT5G51640	1	AT-UU-PY-01-LF-01
AT5G10020	AT5G05540	1	AT-UU-PY-01-LF-01
AT1G77850	AT5G15410	1	AT-UU-PY-01-LF-01
AT5G11300	AT1G01630	1	AT-UU-PY-01-LF-01
AT4G38180	AT4G33990	1	AT-UU-PY-01-LF-01
AT5G13300	AT5G43310	1	AT-UU-PY-01-LF-01
AT5G57940	AT1G73400	1	AT-UU-PY-01-LF-01
AT1G07510	AT2G36980	1	AT-UU-PY-01-LF-01
AT4G00900	AT2G35350	1	AT-UU-PY-01-LF-01
AT5G45400	AT5G55590	1	AT-UU-PY-01-LF-01
AT5G11380	AT5G11730	1	AT-UU-PY-01-LF-01
AT5G01730	AT4G40020	1	AT-UU-PY-01-LF-01
AT4G20980	AT5G11430	1	AT-UU-PY-01-LF-01
AT3G11760	AT1G20530	1	AT-UU-PY-01-LF-01
AT4G30000	AT3G20970	1	AT-UU-PY-01-LF-01
AT2G34030	AT2G28840	1	AT-UU-PY-01-LF-01
AT2G41560	AT1G08860	1	AT-UU-PY-01-LF-01
AT4G13350	AT3G21950	1	AT-UU-PY-01-LF-01
AT1G13210	AT1G10650	1	AT-UU-PY-01-LF-01
AT5G23050	AT3G63010	1	AT-UU-PY-01-LF-01
AT1G53040	AT2G37040	1	AT-UU-PY-01-LF-01
AT1G20870	AT5G57940	1	AT-UU-PY-01-LF-01
AT3G13930	AT3G14980	1	AT-UU-PY-01-LF-01
AT4G12740	AT5G66460	1	AT-UU-PY-01-LF-01
AT1G06720	AT1G07110	1	AT-UU-PY-01-LF-01
AT5G20660	AT1G04820	1	AT-UU-PY-01-LF-01
AT4G03200	AT5G35220	1	AT-UU-PY-01-LF-01
AT3G27870	AT3G01670	1	AT-UU-PY-01-LF-01
AT3G16860	AT3G15800	1	AT-UU-PY-01-LF-01
AT4G11130	AT4G18750	1	AT-UU-PY-01-LF-01
AT1G05960	AT1G02205	1	AT-UU-PY-01-LF-01
AT4G38550	AT3G45640	1	AT-UU-PY-01-LF-01
AT5G09590	AT2G47170	1	AT-UU-PY-01-LF-01
AT4G31160	AT4G30190	1	AT-UU-PY-01-LF-01
AT5G41330	AT5G40660	1	AT-UU-PY-01-LF-01
AT1G71400	AT5G12340	1	AT-UU-PY-01-LF-01
AT3G59700	AT5G01980	1	AT-UU-PY-01-LF-01
AT5G14430	AT3G46920	1	AT-UU-PY-01-LF-01
AT5G50150	AT4G25190	1	AT-UU-PY-01-LF-01
AT1G30120	AT3G55970	1	AT-UU-PY-01-LF-01
AT3G12120	AT5G60710	1	AT-UU-PY-01-LF-01
AT5G01920	AT5G23250	1	AT-UU-PY-01-LF-01
AT1G71980	AT1G22040	1	AT-UU-PY-01-LF-01
AT1G24300	AT2G34250	1	AT-UU-PY-01-LF-01
AT1G77250	AT1G77220	1	AT-UU-PY-01-LF-01
AT5G09870	AT5G25520	1	AT-UU-PY-01-LF-01
AT2G28070	AT2G27150	1	AT-UU-PY-01-LF-01
AT2G48130	AT1G18130	1	AT-UU-PY-01-LF-01
AT1G12770	AT2G39850	1	AT-UU-PY-01-LF-01
AT1G56230	AT2G01680	1	AT-UU-PY-01-LF-01
AT2G02040	AT2G33640	1	AT-UU-PY-01-LF-01
AT4G15180	AT5G02810	1	AT-UU-PY-01-LF-01
AT2G26910	AT1G70060	1	AT-UU-PY-01-LF-01
AT3G54280	AT3G56570	1	AT-UU-PY-01-LF-01
AT5G58980	AT5G52350	1	AT-UU-PY-01-LF-01
AT2G27230	AT4G00340	1	AT-UU-PY-01-LF-01
AT1G73360	AT4G31680	1	AT-UU-PY-01-LF-01
AT5G63490	AT5G61840	1	AT-UU-PY-01-LF-01
AT1G08260	AT1G11420	1	AT-UU-PY-01-LF-01
AT5G49460	AT5G52530	1	AT-UU-PY-01-LF-01
AT2G25730	AT2G27170	1	AT-UU-PY-01-LF-01
AT2G27150	AT2G43240	1	AT-UU-PY-01-LF-01
AT4G27910	AT4G28060	1	AT-UU-PY-01-LF-01
AT2G34710	AT2G36380	1	AT-UU-PY-01-LF-01
AT3G58030	AT4G17230	1	AT-UU-PY-01-LF-01
AT3G55550	AT3G56600	1	AT-UU-PY-01-LF-01
AT5G47520	AT5G47510	1	AT-UU-PY-01-LF-01
AT4G29210	AT4G26680	1	AT-UU-PY-01-LF-01
AT4G04510	AT3G54550	1	AT-UU-PY-01-LF-01
AT3G63150	AT1G70210	1	AT-UU-PY-01-LF-01
AT5G45380	AT1G72460	1	AT-UU-PY-01-LF-01
AT3G03050	AT4G19420	1	AT-UU-PY-01-LF-01
AT2G19520	AT5G01210	1	AT-UU-PY-01-LF-01
AT4G12620	AT3G51070	1	AT-UU-PY-01-LF-01
AT3G16890	AT3G11620	1	AT-UU-PY-01-LF-01
AT5G51820	AT3G08600	1	AT-UU-PY-01-LF-01
AT2G01830	AT1G68140	1	AT-UU-PY-01-LF-01
AT3G02300	AT2G32860	1	AT-UU-PY-01-LF-01
AT3G08020	AT3G07530	1	AT-UU-PY-01-LF-01
AT1G12930	AT5G64360	1	AT-UU-PY-01-LF-01
AT4G27330	AT1G25550	1	AT-UU-PY-01-LF-01
AT3G26130	AT3G05140	1	AT-UU-PY-01-LF-01
AT1G50140	AT1G50300	1	AT-UU-PY-01-LF-01
AT2G27150	AT4G00690	1	AT-UU-PY-01-LF-01
AT1G69010	AT1G71490	1	AT-UU-PY-01-LF-01
AT3G43220	AT3G24550	1	AT-UU-PY-01-LF-01
AT1G05790	AT3G51820	1	AT-UU-PY-01-LF-01
AT5G52170	AT1G20330	1	AT-UU-PY-01-LF-01
AT1G15660	AT1G10710	1	AT-UU-PY-01-LF-01
AT3G62290	AT5G43760	1	AT-UU-PY-01-LF-01
AT5G61460	AT4G00260	1	AT-UU-PY-01-LF-01
AT2G30070	AT3G52570	1	AT-UU-PY-01-LF-01
AT2G17010	AT5G60900	1	AT-UU-PY-01-LF-01
AT5G42870	AT1G70220	1	AT-UU-PY-01-LF-01
AT1G56500	AT1G71790	1	AT-UU-PY-01-LF-01
AT3G58510	AT1G56010	1	AT-UU-PY-01-LF-01
AT2G25640	AT1G34270	1	AT-UU-PY-01-LF-01
AT5G62680	AT5G53920	1	AT-UU-PY-01-LF-01
AT1G42540	AT1G36390	1	AT-UU-PY-01-LF-01
AT1G49480	AT3G63200	1	AT-UU-PY-01-LF-01
AT4G30080	AT4G23620	1	AT-UU-PY-01-LF-01
AT4G02280	AT4G02700	1	AT-UU-PY-01-LF-01
AT2G44040	AT3G13730	1	AT-UU-PY-01-LF-01
AT5G05660	AT5G05930	1	AT-UU-PY-01-LF-01
AT2G41220	AT2G25320	1	AT-UU-PY-01-LF-01
AT3G09070	AT5G60800	1	AT-UU-PY-01-LF-01
AT2G28780	AT4G13240	1	AT-UU-PY-01-LF-01
AT5G20380	AT1G17455	1	AT-UU-PY-01-LF-01
AT5G65780	AT4G39370	1	AT-UU-PY-01-LF-01
AT5G62530	AT5G63370	1	AT-UU-PY-01-LF-01
AT4G32850	AT4G32520	1	AT-UU-PY-01-LF-01
AT2G34357	AT2G32950	1	AT-UU-PY-01-LF-01
AT1G50410	AT1G10640	1	AT-UU-PY-01-LF-01
AT1G55200	AT1G27680	1	AT-UU-PY-01-LF-01
AT1G12120	AT1G09440	1	AT-UU-PY-01-LF-01
AT2G26330	AT2G26280	1	AT-UU-PY-01-LF-01
AT3G03580	AT3G04580	1	AT-UU-PY-01-LF-01
AT1G76630	AT5G21280	1	AT-UU-PY-01-LF-01
AT3G54280	AT5G62190	1	AT-UU-PY-01-LF-01
AT2G33240	AT2G22910	1	AT-UU-PY-01-LF-01
AT3G12140	AT4G36010	1	AT-UU-PY-01-LF-01
AT1G08620	AT1G08540	1	AT-UU-PY-01-LF-01
AT4G29950	AT4G03010	1	AT-UU-PY-01-LF-01
AT1G67120	AT1G67580	1	AT-UU-PY-01-LF-01
AT1G20970	AT5G21930	1	AT-UU-PY-01-LF-01
AT5G16520	AT1G75130	1	AT-UU-PY-01-LF-01
AT2G38440	AT2G30530	1	AT-UU-PY-01-LF-01
