Cluster228	AT3G47670	AT4G31250	AT3G18060	AT5G56750
Cluster229	AT4G17215	AT5G38195	AT5G11970	AT1G08670
Cluster230	AT5G64250	AT2G45990	AT4G22530	AT1G22985
Cluster231	AT1G04520	AT1G80280	AT4G35950	AT3G49670
Cluster232	AT3G26210	AT2G47130	AT5G46050	AT3G45620
Cluster233	AT4G11890	AT1G02340	AT3G28920	AT1G65500
Cluster234	AT2G21600	AT3G06300	AT1G73020	AT4G26240
Cluster235	AT1G55890	AT2G02880	AT4G05450	AT4G20440
Cluster236	AT1G08940	AT1G75850	AT5G61530	AT5G47920
Cluster237	AT3G25160	AT3G28490	AT2G23260	AT3G61910
Cluster238	AT3G58520	AT5G48300	AT1G33230	AT1G09470
Cluster239	AT1G02850	AT5G44870	AT1G67220	AT1G30040
Cluster240	AT1G04590	AT2G26770	AT4G15900	AT5G66010
Cluster241	AT1G54130	AT5G53350	AT1G12050	AT4G22340
Cluster242	AT2G23040	AT2G28605	AT5G03060	AT4G29610
Cluster243	AT1G76780	AT1G56690	AT2G25350	AT1G61070
Cluster244	AT1G68530	AT5G25610	AT1G07720	AT2G38530
Cluster245	AT1G72320	AT3G20240	AT2G47230	AT3G60900
Cluster246	AT4G08620	AT5G04120	AT5G36140	AT1G63450
Cluster247	AT2G27350	AT4G35040	AT1G10940	AT3G16990
Cluster248	AT1G76400	AT1G33265	AT3G57220	AT5G49945
Cluster249	AT5G65810	AT5G05010	AT1G54890	AT1G10030
Cluster250	AT4G04610	AT4G21990	AT1G36370	AT1G62180
Cluster251	AT3G09270	AT4G18640	AT5G61340	AT1G19190
Cluster252	AT5G38110	AT2G16940	AT5G51140	AT5G13980
Cluster253	AT1G18140	AT2G43050	AT4G35550	AT1G23140
Cluster254	AT1G51680	AT4G29800	AT4G01070	AT3G15990
Cluster255	AT3G63360	AT4G23870	AT3G05150	AT4G08930
Cluster256	AT3G01190	AT5G54690	AT3G01260	AT3G63470
Cluster257	AT5G58010	AT1G05010	AT2G44790	AT1G70460
Cluster258	AT1G78680	AT3G61180	AT1G62640	AT1G76020
Cluster259	AT5G64130	AT1G22840	AT5G60460	AT1G13590
Cluster260	AT3G55090	AT5G64120	AT5G43150	AT1G34650
Cluster261	AT1G47710	AT4G38580	AT1G02270	AT1G71950
Cluster262	AT1G78430	AT4G28590	AT5G27560	AT2G41550
Cluster263	AT3G16530	AT3G23550	AT2G29590	AT3G04720
Cluster264	AT2G43600	AT1G44318	AT5G58784	AT2G23400
Cluster265	AT3G12610	AT3G45850	AT5G66080	AT5G50000
Cluster266	AT4G36540	AT3G48720	AT2G18300	AT1G14700
Cluster267	AT4G32150	AT3G01520	AT5G04930	AT3G63080
Cluster268	AT1G30900	AT3G28360	AT5G06530	AT5G15740
Cluster269	AT1G20010	AT1G07410	AT5G60570	AT1G08550
Cluster270	AT1G52720	AT3G12920	AT1G03150	AT4G01250
Cluster271	AT2G04920	AT3G11180	AT5G44480	AT2G25940
Cluster272	ATMG00640	ATMG00650	ATMG00690	AT1G76880
Cluster273	AT3G22450	AT5G39620	AT5G02000	ATMG00750
Cluster274	AT3G50420	AT4G29690	AT3G07320	AT5G19100
Cluster275	AT3G05240	AT5G52380	AT4G12540	AT2G30320
Cluster276	AT1G20020	AT3G53800	AT4G23240	AT2G47450
Cluster277	AT4G23180	AT3G50950	AT5G25440	AT4G21600
Cluster278	AT1G43020	AT5G67340	AT1G13830	AT1G08050
Cluster279	AT3G61780	AT1G55930	AT3G13782	AT3G47840
Cluster280	AT2G31500	AT5G27630	AT4G17470	AT5G06520
Cluster281	AT5G10650	AT5G40690	AT2G42350	AT5G53320
Cluster282	AT1G48470	AT2G41020	AT2G28490	AT4G26740
Cluster283	AT2G13540	AT1G80720	AT1G80480	AT1G72850
Cluster284	AT1G72020	AT5G53650	AT1G12530	AT3G44280
Cluster285	AT5G06370	AT5G09690	AT5G54080	AT1G45976
Cluster286	AT2G14835	AT2G37940	AT4G38640	AT5G44370
Cluster287	AT1G17170	AT1G55850	AT2G29490	AT4G20830
Cluster288	AT1G05850	AT1G48210	AT5G38030	AT5G64330
Cluster289	AT2G45810	AT5G42740	AT1G04230	AT5G65210
Cluster290	AT1G33600	AT5G64800	AT2G01280	AT4G34740
Cluster291	AT5G61960	AT4G26650	AT3G61130	AT4G34260
Cluster292	AT1G64160	AT4G17660	AT3G14720	AT5G16600
Cluster293	AT1G23600	AT3G10560	AT1G05540	AT4G19460
Cluster294	AT2G30670	AT5G11920	AT5G52710	AT4G14390
Cluster295	AT5G01680	AT5G52160	AT3G50320	AT5G41720
Cluster296	AT3G48530	AT3G61600	AT5G61500	AT2G45980
Cluster297	AT2G29995	AT4G18930	AT1G63460	AT3G27100
Cluster298	AT1G18840	AT5G50180	AT5G50330	AT5G58970
Cluster299	AT1G70140	AT1G31480	AT5G12170	AT5G48930
Cluster300	AT3G02750	AT3G59020	AT5G26780	AT1G78900
Cluster301	AT4G15340	AT4G25640	AT2G40230	AT2G36320
Cluster302	AT1G50320	AT1G61240	AT1G07310	AT1G69790
Cluster303	AT1G35040	AT5G52340	AT3G51070	AT1G14520
Cluster304	AT2G18470	AT5G19710	AT1G49880	AT4G25380
Cluster305	AT1G76090	AT4G24760	AT5G10020	AT1G76270
Cluster306	AT2G25870	AT2G25970	AT4G10070	AT4G25500
Cluster307	AT4G19850	AT5G44470	AT3G62180	ATCG01070
Cluster308	AT2G29360	AT3G54900	AT5G45080	AT5G03120
Cluster309	AT5G03340	AT4G29330	AT5G42220	AT1G04130
Cluster310	AT5G58930	AT1G08110	AT3G24240	AT1G07250
